symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
NOG,29.1200008392334,USD,1.49,0,0,0,-1,0.4939815622721869,0.29700000000000004,2783000000.0,1.09,2783000000.0
NOK,5.399400234222412,USD,0.6,-1,0,0,0,0.3169766345102184,-0.020000000000000018,29104000000.0,1.22,29104000000.0
NOM,10.421500205993652,USD,1.0,0,0,0,0,0.22894126777414606,0.3,N/A,N/A,
NOMD,17.200000762939453,USD,1.0,0,0,0,0,0.24201941765440788,0.3,N/A,N/A,
NOTE,0.6395000219345093,USD,1.0,0,0,0,-1,0.9360767911135749,0.15,N/A,N/A,
NOTV,3.0683999061584473,USD,4.06,1,1,1,-1,1.2772712767788776,1.6179999999999997,66384000.0,0.39,66384000.0
NOV,12.454999923706055,USD,1.0,0,0,0,-1,0.4185854926290618,0.15,N/A,N/A,
NOVA,0.20260000228881836,USD,2.98,1,-1,0,-1,1.506620767521085,0.7440000000000001,26268000.0,9.85,26268000.0
NOVT,125.98500061035156,USD,1.51,0,-1,0,-1,0.40172478359229313,0.10299999999999995,4661000000.0,6.06,4661000000.0
NOW,1007.5850219726562,USD,0.97,-1,1,0,-1,0.4184481779968455,0.141,211371000000.0,0.94,211371000000.0
NPB,13.119999885559082,USD,1.0,0,0,0,0,0.3932600525991643,0.3,N/A,N/A,
NPCE,13.53499984741211,USD,2.05,1,-1,0,-1,0.7889302101402977,0.46499999999999997,532231000.0,3.76,532231000.0
NPCT,10.899999618530273,USD,1.0,0,0,0,1,0.12272227898146243,0.44999999999999996,N/A,N/A,
NPFD,18.989900588989258,USD,1.0,0,0,0,1,0.12542248435198966,0.44999999999999996,N/A,N/A,
NPK,86.05000305175781,USD,1.0,0,0,0,0,0.25292581035434114,0.3,N/A,N/A,
NPKI,8.369999885559082,USD,2.08,1,0,0,-1,0.5155822738588216,0.674,690551000.0,2.13,690551000.0
